route_id,aadt,year_recorded,slat,slon,elat,elon
950085,3200,2023,-73.41870009,41.58235472,-73.43688858,41.58472756
950183,3400,2023,-73.42991744,41.52322782,-73.42508965,41.53372425
101-E,8000,2023,-71.86532263,41.83933152,-71.83652615,41.84428451
1-N,15400,2023,-73.65257978,41.01438072,-73.63411377,41.02537488
1-N,15200,2023,-73.62944349,41.02810495,-73.62278062,41.0350083
1-N,18700,2023,-73.59981534,41.03785702,-73.59686123,41.03928553
1-N,21500,2023,-73.58316067,41.04101411,-73.57861103,41.04160755
1-N,13700,2023,-73.53260427,41.05326946,-73.53108282,41.05512565
1-N,15700,2023,-73.47518469,41.07221192,-73.47464876,41.07286689
1-N,18900,2023,-73.40684137,41.12132816,-73.40129269,41.12340271
1-N,10700,2023,-73.37104793,41.13621077,-73.36455737,41.14054031
1-N,8800,2023,-72.48389448,41.27457109,-72.47013732,41.27725002
1-N,32200,2023,-72.36126292,41.31456681,-72.35949095,41.31584237
1-N,29700,2023,-72.35625716,41.31740164,-72.35337119,41.31796016
1-N,11300,2023,-72.11233521,41.34470473,-72.10929431,41.34732415
1-N,3500,2023,-72.11644837,41.3678143,-72.11468799,41.36803107
1-N,109900,2023,-72.08766316,41.36381531,-72.08111169,41.3641147
1-N,19700,2023,-72.06312028,41.35894144,-72.05452269,41.34893845
1-N,10900,2023,-72.02421369,41.34674762,-72.0119179,41.34497808
1-N,6400,2023,-72.0119179,41.34497808,-72.00903829,41.35106124
1-N,5200,2023,-72.00903829,41.35106124,-71.99828246,41.35190002
1-N,6300,2023,-71.97751024,41.3529282,-71.97298241,41.35399756
1-N,8900,2023,-71.95550042,41.34779867,-71.95135764,41.34466811
1-N,7900,2023,-71.95135764,41.34466811,-71.93818344,41.34207825
1-N-1,8200,2023,-72.07760198,41.36404627,-72.0773757,41.36190664
1020097,5800,2023,-73.42353901,41.13117735,-73.43422522,41.13244226
1020282,8900,2023,-73.42617768,41.10616756,-73.42290145,41.0999102
1020294,4200,2023,-73.42893724,41.1167358,-73.43833734,41.11802961
1020312,6900,2023,-73.40870634,41.12139012,-73.41036605,41.12573525
1020556,1600,2023,-73.43538903,41.0925533,-73.4336422,41.08989504
1020606,4700,2023,-73.4544586,41.13340143,-73.46429339,41.1278462
1020672,3100,2023,-73.45630206,41.13012201,-73.42962656,41.12629752
1020766,7300,2023,-73.43878521,41.1043592,-73.43589946,41.10252028
1020907,6500,2023,-73.41389846,41.12719258,-73.4213641,41.13020108
1020919,15600,2023,-73.41929213,41.10699595,-73.41846314,41.10914244
1020986,2300,2023,-73.43878521,41.1043592,-73.44449683,41.10354986
1021058,8200,2023,-73.41592194,41.08986146,-73.41688955,41.09145586
1021113,10300,2023,-73.41120252,41.11849033,-73.40824723,41.11774099
1021116,11200,2023,-73.43027125,41.15524491,-73.42686062,41.15549197
1030235,4300,2023,-72.06914978,41.56033421,-72.0506444,41.5555255
1030428,1500,2023,-72.08842421,41.55057756,-72.08903153,41.55949123
1030437,2600,2023,-72.07642079,41.52372254,-72.07585445,41.52432551
1030517,150,2023,-72.07476229,41.51713572,-72.07562189,41.51706696
104-N,14900,2023,-73.56662869,41.10389565,-73.56688225,41.10426659
106-N,11400,2023,-73.49890116,41.11882496,-73.49917009,41.12105674
106-N,7500,2023,-73.49917009,41.12105674,-73.49547156,41.12503513
106-N,6100,2023,-73.49049864,41.14768903,-73.48388553,41.14764064
108-N,12400,2023,-73.14676434,41.29498411,-73.14637452,41.29651514
109-E,2400,2023,-73.25777178,41.67622126,-73.23738514,41.68239898
1100013,800,2023,-73.02354476,41.68256082,-73.02257843,41.68770963
1210040,20,2023,-73.46864253,42.00541745,-73.46693396,42.05006134
123-N,13800,2023,-73.4272826,41.12632334,-73.42962656,41.12629752
124-N,8600,2023,-73.48535611,41.12648164,-73.48755093,41.13173752
124-N,5500,2023,-73.49188612,41.14610208,-73.49247317,41.14767548
1130055,400,2023,-71.96728822,41.54847581,-71.96053049,41.56614627
1150147,30,2023,-71.91506113,41.92188993,-71.9138148,41.92111065
117-N,9500,2023,-72.01888627,41.40998151,-72.0189946,41.41332072
117-N,1100,2023,-72.03552906,41.48593264,-72.03486049,41.48766644
118-E,9400,2023,-73.11432122,41.76222502,-73.09186415,41.76707115
1190041,450,2023,-73.29027741,41.58788785,-73.29331108,41.6006332
12-N,18700,2023,-72.07668241,41.38128174,-72.07898761,41.38743552
12-N,5700,2023,-72.06628521,41.48592507,-72.07545108,41.50919057
12-N,9900,2023,-72.07014112,41.52416358,-72.06594144,41.52693257
12-N,8800,2023,-72.06594144,41.52693257,-72.06250713,41.52827022
12-N,3500,2023,-71.88172539,41.86634779,-71.87518082,41.87673856
1260144,2100,2023,-73.1586928,41.27974319,-73.15939437,41.2884548
1260199,2700,2023,-73.20328423,41.3009669,-73.20290265,41.29736738
1350402,5200,2023,-73.53007457,41.08370136,-73.52744367,41.09683998
1350409,5800,2023,-73.50877212,41.06034258,-73.52372495,41.06289019
1350477,6000,2023,-73.55186084,41.05610975,-73.55302209,41.06703142
1350561,600,2023,-73.54630644,41.09189764,-73.5456825,41.09548766
1350629,450,2023,-73.51990036,41.09859247,-73.522148,41.1069913
1350673,9900,2023,-73.54760606,41.07615588,-73.53856313,41.07959328
1350719,5400,2023,-73.53108129,41.08251868,-73.52777877,41.08322173
1350795,600,2023,-73.57067622,41.14804476,-73.5729682,41.15389188
1260317,1300,2023,-73.16579569,41.3049179,-73.15985296,41.28577145
1270013,200,2023,-73.50266699,41.6119736,-73.4949038,41.62081974
1290006,1200,2023,-72.44231389,41.96303676,-72.48538829,41.97725225
1290018,250,2023,-72.40332185,42.02042328,-72.40781428,42.01548903
1290044,2600,2023,-72.44265325,42.03223469,-72.44153463,42.03390631
1290094,1700,2023,-72.45029957,41.99433413,-72.43162217,41.99367122
1290122,90,2023,-72.4382941,42.0053192,-72.44308368,42.00400612
1290130,150,2023,-72.41424832,41.98504016,-72.4067594,41.98337147
1300106,2900,2023,-73.24680839,41.50981803,-73.2422224,41.51296091
132L-S,2800,2023,-73.07997898,41.21168897,-73.07715058,41.20784762
133-N,3400,2023,-73.36638856,41.5351108,-73.36869279,41.54581842
1340013,1700,2023,-72.39440623,41.94586913,-72.39148688,41.94162937
